1girl,"1_个女人,人物类型>1_个女人,1个女孩"
arms_behind_back,"手放在身后,人物手势动作>手放在身后,手臂在背后"
eating,"吃饭"
holding_sword,"持剑"
thick_thighs,"粗腿,人物下身装饰>粗腿,大腿粗"
no_shoes,"没有鞋子"
clothes_pull,"拉开衣物,人物手势动作>拉开衣物,衣服拉"
heart-shaped_pupils,"心形瞳孔,爱心形瞳孔,人物属性>眼睛>心形瞳孔"
pantyshot,"内裤走光,人物下身装饰>内裤走光"
topless,"上着较少,人物上身装饰>上着较少,裸照"
thigh_gap,"股沟,人物下身装饰>股沟,大腿间隙"
soles,"鞋底"
short_dress,"短连衣裙,服饰>连衣裙>短连衣裙,短裙"
looking_down,"往下看,俯视,人物属性>视线>往下看,向下看"
phone,"电话"
symbol-only_commentary,"仅符号评论"
fire_emblem,"火徽"
skirt_lift,"掀起裙子,人物手势动作>掀起裙子,裙撑"
eyepatch,"眼罩,单眼罩,人物属性>受伤与医疗>眼罩,人物头部饰品>单眼罩"
magical_girl,"魔法少女,人物类型>魔法少女"
stuffed_toy,"毛绒玩具,场景建设>物品>毛绒玩具"
floral_print,"花卉印花"
bound,"绑定"
black_shorts,"黑色短裤"
flying_sweatdrops,"飞行的汗珠"
wavy_mouth,"抿嘴_波浪形嘴,人物属性>情绪>抿嘴_波浪形嘴,波浪嘴"
crossed_arms,"双手交叉,手交叉于胸前,交叉双臂,人物属性>姿势>双手交叉,双臂交叉,人物手势动作>手交叉于胸前,人物手势动作>交叉双臂"
hair_intakes,"两边侧发向内弯(尼禄),进气口发型,人物属性>发色与发型>两边侧发向内弯(尼禄),头发摄入量,人物发型>进气口发型"
playboy_bunny,"兔女郎,兔女郎连身衣,服饰>泳装和紧身服>兔女郎,花花公子兔子,人物全身服饰>兔女郎连身衣"
girls_und_panzer,"女孩和装甲"
piercing,"穿孔,限制级>穿孔,刺穿"
border,"假边框,图片属性>图像构成>假边框"
formal,"正装,人物全身服饰>正装,正式的"
moon,"月亮,天空/气象>月亮"
love_live!,"爱生活！"
abs,"绝对"
leg_up,"单腿抬起,人物属性>姿势>单腿抬起,抬起腿"
black_pants,"黑色裤子"
half-closed_eyes,"眼睛半闭,人物眼睛>眼睛半闭,半闭眼"
sandals,"凉鞋,服饰>鞋类>凉鞋"
from_below,"仰视视角,仰视镜头,图片属性>角度/透视/深度>仰视视角,从下面,人物摆位>仰视镜头"
erection,"安装"
cover,"封面"
cleavage_cutout,"乳沟切口"
sunlight,"阳光"
table,"表"
single_hair_bun,"团子头,人物发型>团子头,单发髻"
happy,"快乐的,快乐/幸福,人物属性>情绪>快乐的"
oral,"口交,成年限定>口交,口头"
red_dress,"红色连衣裙,服饰>连衣裙>红色连衣裙"
cat,"猫"
squatting,"蹲着,蹲下,人物属性>姿势>蹲着,人体姿势>蹲下"
pink_background,"粉红色背景"
underwear_only,"仅内衣"
scrunchie,"布面弹性发圈,人物属性>其他毛发相关>布面弹性发圈"
sunglasses,"太阳镜,人物头部饰品>太阳镜"
chinese_commentary,"中文评论"
testicles,"睾丸/蛋蛋,成年限定>睾丸/蛋蛋"
school_swimsuit,"死库水,学校泳衣,服饰>泳装和紧身服>死库水,学校泳装,人物全身服饰>学校泳衣"
halo,"头顶光环,人物头部饰品>头顶光环,晕"
cum_on_body,"精液在身体上,精液在手上,精液在脚上,精液在腿上,精液在腋窝,精液在背上"
bdsm,"绑缚与调教/支配与臣服/施虐与受虐,限制级>绑缚与调教/支配与臣服/施虐与受虐,性虐待"
dark-skinned_male,"深色皮肤的男性"
white_footwear,"白色鞋类"
trembling,"颤抖"
mob_cap,"暴民帽"
blazer,"西装外套,西装夹克,服饰>衬衫和上衣>西装外套"
ring,"戒指"
wolf_ears,"狼耳朵,人物属性>耳朵>狼耳朵,土狼耳朵"
sleeping,"睡觉"
game_cg,"游戏CG,游戏_CG,图片属性>图片格式>游戏CG,游戏cg,风格>游戏_CG"
final_fantasy,"最终幻想"
standing_on_one_leg,"单腿站立,人物属性>姿势>单腿站立"
backpack,"背包,物品>背包"
light_brown_hair,"浅褐发,人物发色>浅褐发,浅棕色头发"
eyes_visible_through_hair,"透过头发可以看到的眼睛,人物眼睛>透过头发可以看到的眼睛,透过头发可见的眼睛"
knee_boots,"长度接近膝盖的靴子,及膝靴,服饰>鞋类>长度接近膝盖的靴子,人物鞋袜>及膝靴"
bob_cut,"鲍勃切"
lingerie,"女用贴身内衣裤,人物全身服饰>女用贴身内衣裤"
breast_grab,"揉胸,人物属性>手>揉胸,乳房抓斗,人物胸部>揉胸"
hat_ribbon,"帽子上绑着丝带,服饰>头饰>帽子上绑着丝带,帽子丝带"
thick_eyebrows,"浓眉"
partial_commentary,"部分评论"
katana,"武士刀"
demon_girl,"魅魔,生物>传说生物>魅魔,人物类型>魅魔,恶魔少女"
stuffed_animal,"毛绒玩具"
bat_wings,"蝙蝠翅膀,人物属性>翅膀>蝙蝠翅膀,人物上身装饰>蝙蝠翅膀"
cardigan,"开襟衫,服饰>衬衫和上衣>开襟衫,开衫"
white_skirt,"白色裙子"
girls'_frontline,"少女前线,图片属性>艺术风格>少女前线"
frilled_dress,"有荷叶边的连衣裙,服饰>连衣裙>有荷叶边的连衣裙,荷叶边连衣裙"
;d,"单眼咧嘴笑,人物面部>单眼咧嘴笑"
korean_commentary,"韩国评论"
crossed_legs,"二郎腿,人物属性>姿势>二郎腿,双腿交叉,人体姿势>二郎腿"
white_jacket,"白色夹克"
suspenders,"吊带"
3boys,"3男"
helmet,"头盔,服饰>头饰>头盔"
remilia_scarlet,"remilia_猩红色"
hood_down,"放下的兜帽,人物头部饰品>放下的兜帽,引擎盖下来"
cloudy_sky,"多云的天空"
antenna_hair,"天线毛(两根呆毛),人物属性>发色与发型>天线毛(两根呆毛)"
outstretched_arms,"伸双手,伸出双臂,人物属性>姿势>伸双手"
cellphone,"手机"
crying,"哭,人物面部>哭,哭泣"
tank_top,"无袖紧身背心,服饰>衬衫和上衣>无袖紧身背心,人物上身装饰>无袖紧身背心"
cross,"交叉"
polka_dot,"点状花纹,人物全身服饰>点状花纹,圆点"
bottle,"瓶子"
grass,"草"
aged_down,""
bug,"错误"
fire,"火"
undressing,"脱衣服中,人物手势动作>脱衣服中"
5girls,"5女"
crossover,"交叉"
suit,"西装,服饰>制服与其他服装>西装"
crown,"王冠,皇冠,服饰>头饰>王冠"
tiara,"公主佩戴的金属发带,三重冕,服饰>头饰>公主佩戴的金属发带"
feathers,"场景飘羽毛,背景>场景飘羽毛"
bent_over,"翘臀姿势,人体姿势>翘臀姿势,弯腰"
frilled_skirt,"荷叶边裙"
breasts_out,"乳房出来"
light_smile,"微笑,浅笑,人物属性>情绪>微笑,人物面部>浅笑"
high_ponytail,"高马尾辫,披在两侧的两条辫子,人物属性>发色与发型>高马尾辫"
holding_food,"拿着食物"
knife,"刀"
pectorals,"胸肌"
animated,"动画"
looking_up,"仰视,人物摆位>仰视,抬头看"
couple,"夫妇"
own_hands_together,"自己握自己的手,双手合十,人物属性>姿势>自己握自己的手,自己动手,人物手势动作>双手合十"
straddling,"跨坐,人物属性>姿势>跨坐,跨骑,人体姿势>跨坐"
denim,"牛仔布"
white_bow,"白色蝴蝶结"
black_hairband,"黑色发带,人物头部饰品>黑色发带"
x_hair_ornament,"x发饰,人物头部饰品>x发饰,x_发饰"
horse_ears,"马耳朵,人物属性>耳朵>马耳朵"
eyebrows,"眉毛"
>_<,">_<"
hair_bobbles,"两端有小球的发圈,头绳,人物属性>其他毛发相关>两端有小球的发圈,毛球,人物头部饰品>头绳"
wing_collar,"翼领"
on_stomach,"俯卧,趴着,人物属性>姿势>俯卧,在肚子上,人体姿势>趴着"
blue_shirt,"蓝色衬衫"
plant,"厂"
areolae,"乳晕,成年限定>乳晕"
flandre_scarlet,"弗兰德猩红色"
tan,"晒黑的肤色,人物属性>肤色>晒黑的肤色,棕褐色"
lipstick,"口红/唇膏,人物面部>口红/唇膏"
outstretched_arm,"伸单手,伸出单臂,人物属性>姿势>伸单手,伸出的手臂"
short_twintails,"短双马尾,人物发型>短双马尾"
fellatio,"口交,成年限定>口交"
letterboxed,"宽银幕格式,风格>宽银幕格式,信箱"
bondage,"捆绑/奴役,限制级>捆绑/奴役,束缚"
izayoi_sakuya,"izayoi_sakuya"
robot,"机器人"
blue_ribbon,"蓝丝带"
girl_on_top,"女上体位,成年限定>女上体位,女孩在上面"
white_flower,"白花"
umamusume,"赛马娘,图片属性>艺术风格>赛马娘"
curtains,"窗帘"
lifted_by_self,"掀起自己的衣物,人物手势动作>掀起自己的衣物,自行举起"
precure,"预固化剂"
animal_print,"动物印花"
pointing,"指点"
muscular_male,""
monster_girl,"怪物女孩"
cat_girl,"猫娘,人物类型>猫娘,猫女孩"
polearm,"长柄类武器,场景建设>物品>长柄类武器,长柄武器"
pink_bow,"粉色蝴蝶结"
revision,"修订"
juliet_sleeves,"朱丽叶袖"
slit_pupils,"猫瞳,竖瞳孔/猫眼,人物属性>眼睛>猫瞳,狭缝瞳孔,人物眼睛>竖瞳孔/猫眼"
^^^,"^^^"
sex_from_behind,"从后面做爱"
all_fours,"四肢着地,四肢趴地,人物属性>姿势>四肢着地,人体姿势>四肢趴地"
spiked_hair,"尖刺的头发"
sisters,"姐妹,人物类型>姐妹"
sharp_teeth,"锋利的牙齿"
crescent,"新月"
staff,"员工"
granblue_fantasy,"碧蓝幻想"
hand_on_own_chest,"手放在自己胸上,人物属性>手>手放在自己胸上,手放在自己的胸前"
blue_sailor_collar,"蓝色水手领"
panty_pull,"内裤拉下来,人物下身装饰>内裤拉下来"
white_socks,""
frilled_sleeves,"有荷叶边的袖子,服饰>袖子>有荷叶边的袖子,荷叶边袖子"
cherry_blossoms,"樱花,场景建设>物品>樱花,花卉>樱花,樱桃树"
?,"?"
red_necktie,"红色领带"
blue_jacket,"蓝色夹克"
blouse,"女式衬衫,罩衫,服饰>衬衫和上衣>女式衬衫"
clenched_teeth,"咬牙,人物属性>情绪>咬牙,咬紧牙关,人物面部>咬牙"
jojo_no_kimyou_na_bouken,"jojo_no_kimyou_na_bouken"
black_background,"黑色背景"
towel,"毛巾"
goggles,"护目镜,人物头部饰品>护目镜"
cover_page,"封面"
shaded_face,"阴影面"
brooch,"胸针,人物胸部>胸针"
wind,"大风,场景建设>天气>大风"
bike_shorts,"自行车短裤,服饰>下装>自行车短裤,人物下身装饰>自行车短裤"
head_wings,"头上长成翼,人物属性>翅膀>头上长成翼,头翼"
green_skirt,"绿裙子"
otoko_no_ko,"otoko_no_ko"
casual,"私服,人物上身装饰>私服,休闲"
ground_vehicle,"地面车辆"
loafers,"乐福鞋_平底便鞋,服饰>鞋类>乐福鞋_平底便鞋"
gauntlets,"护手"
elf,"精灵,妖精,生物>传说生物>精灵"
pink_panties,"粉红内裤,人物下身装饰>粉红内裤,粉色内裤"
no_pants,"没有裤子"
t-shirt,"T恤衬衫,T_恤,服饰>衬衫和上衣>T恤衬衫,t_恤,人物上身装饰>T_恤"
black_bra,"黑色文胸"
red_flower,"红花"
demon_horns,"恶魔的角,人物头部饰品>恶魔的角,恶魔之角"
fate/stay_night,"fate/night"
fox_girl,"狐娘,人物类型>狐娘,狐狸女孩"
multiple_tails,"多尾,人物属性>尾巴>多尾"
building,"建筑物,场景建设>人造场景>建筑物,城市>建筑"
shoulder_armor,"肩甲"
striped_panties,"条纹内裤,人物下身装饰>条纹内裤"
wristband,"腕带,人物上身装饰>腕带"
motion_lines,"体现运动的线,风格>体现运动的线,运动线"
kiss,"吻"
black_socks,""
single_thighhigh,"单大腿高"
messy_hair,"凌乱的头发,凌乱发型,人物属性>发色与发型>凌乱的头发,人物发型>凌乱发型"
between_breasts,"乳房之间"
breast_press,"挤压胸部,人物胸部>挤压胸部,乳房压力机"
surprised,"惊讶,人物属性>情绪>惊讶,人物面部>惊讶,吃惊"
hat_bow,"帽子蝴蝶结"
horse_girl,"马娘,人物类型>马娘,马女孩"
butterfly,"蝴蝶"
sheath,"护套"
kemono_friends,"兽娘动物园,图片属性>艺术风格>兽娘动物园,kemono_朋友"
child,"儿童,人物类型>儿童"
group_sex,"群P,成年限定>群P,群交"
skirt_set,"裙子套装"
ribbon_trim,"丝带饰边"
character_request,"字符请求"
rabbit_tail,"兔子尾巴,人物属性>尾巴>兔子尾巴,兔尾"
third_eye,"第三只眼"
drooling,"流口水,人物面部>流口水"
sneakers,"运动鞋,服饰>鞋类>运动鞋"
instrument,"仪器"
clenched_hand,"握紧的手"
gem,"宝石"
red_shirt,"红衬衫"
hakama,"袴/腿衣,人物下身装饰>袴/腿衣"
red_footwear,"红鞋"
sex_toy,"性玩具"
fishnets,"网袜,人物鞋袜>网袜,渔网"
box,"盒子"
pale_skin,"肤色偏白,人物属性>肤色>肤色偏白,苍白的皮肤"
tassel,"流苏"
musical_note,"音符"
red_bowtie,"红色领结"
admiral_(kancolle),"海军上将_(舰娘)"
rope,"绳子,限制级>绳子"
revealing_clothes,"露出衣服"
wet_clothes,"湿衣服"
genderswap,"性别交换"
candy,"糖果"
blue_archive,"蓝色档案"
ear_piercing,"穿耳洞,人物属性>耳朵>穿耳洞"
side-tie_panties,"系带式内裤,人物下身装饰>系带式内裤,侧系内裤"
facial,"颜射,成年限定>颜射,面部"
covering,"挡住脸,人物面部>挡住脸,覆盖"
foreshortening,"正前缩距透视法,视角>正前缩距透视法"
steam,"蒸汽"
nature,"自然,自然环境,图片属性>主题>自然"
dog_ears,"狗耳朵,人物属性>耳朵>狗耳朵"
adapted_costume,"改编服装"
anal,"爆菊,成年限定>爆菊,肛门"
pink_dress,"粉红色裙子,服饰>连衣裙>粉红色裙子,粉色连衣裙"
star_(sky),"星星(天空)"
demon_tail,"恶魔尾巴,人物属性>尾巴>恶魔尾巴,人物下身装饰>恶魔尾巴"
idolmaster_(classic),"偶像大师(经典)"
portrait,"人像,半身像,图片属性>构图>人像,肖像"
peaked_cap,"警察帽_军官帽,类似警帽的帽子,服饰>头饰>警察帽_军官帽,顶帽"
holding_gun,"拿着枪"
scenery,"风景,图片属性>主题>风景"
armband,"臂章,人物上身装饰>臂章"
duplicate,"重复"
waist_apron,"腰围裙,人物全身服饰>腰围裙"
convenient_censoring,"简单巧妙的打码,人物上身装饰>简单巧妙的打码,方便审查"
night_sky,"夜空,天空/气象>夜空"
breath,"呼吸"
ejaculation,"射出,成年限定>射出,射精"
lace_trim,"蕾丝饰边"
artoria_pendragon_(fate),"artoria_pendragon_(fate)"
veil,"头纱,服饰>头饰>头纱,面纱"
china_dress,"旗袍,服饰>连衣裙>旗袍,中国服饰,人物全身服饰>旗袍"
black_nails,"黑指甲"
gundam,""
alice_margatroid,"爱丽丝_margatroid"
arms_behind_head,"双手举过头,手臂放头后,人物属性>姿势>双手举过头,头后的手臂,人物手势动作>手臂放头后"
tokin_hat,"东金帽子,人物头部饰品>东金帽子,tokin_帽子"
couch,"沙发"
kochiya_sanae,"kochiya早苗"
interlocked_fingers,"十指相扣,人物属性>姿势>十指相扣"
bandaid,"创可贴,人物属性>受伤与医疗>创可贴,人物全身装饰>创可贴"
patchouli_knowledge,"广藿香知识"
love_live!_school_idol_project,"爱生活！学园偶像项目"
lace,"蕾丝,人物全身服饰>蕾丝"
microphone,"麦克风,场景建设>物品>麦克风"
white_apron,"白色围裙"
bara,"大叔,人物类型>大叔,巴拉"
male_pubic_hair,"男性阴毛"
front-tie_top,"从正面打结的衣物,人物上身装饰>从正面打结的衣物,前领带顶部"
nijisanji,"nijisanji"
hand_fan,"手扇,场景建设>物品>手扇,b"
hakama_skirt,"袴裙,人物下身装饰>袴裙"
mole_under_mouth,"嘴角有痣/美人痣,人物头部饰品>嘴角有痣/美人痣,嘴下痣"
bow_panties,"带蝴蝶结的内裤,人物下身装饰>带蝴蝶结的内裤,蝴蝶结内裤"
strapless_dress,"无肩带连衣裙,服饰>连衣裙>无肩带连衣裙,露肩连衣裙,人物全身服饰>无肩带连衣裙"
bridal_gauntlets,"新娘手套"
holding_cup,"拿着杯子"
yaoi,"搞基,人物类型>搞基"
mecha,"机甲"
glowing_eyes,"发光的眼睛(双眼),发光的双眼,人物属性>眼睛>发光的眼睛(双眼)"
black_leotard,"黑色紧身衣"
no_headwear,"没有帽子"
anger_vein,"青筋凸起,人物属性>情绪>青筋凸起,怒脉"
clothes_writing,"衣服写作"
...,"..."
white_ribbon,"白丝带"
christmas,"圣诞节,场景建设>物品>圣诞节,背景>圣诞节"
konpaku_youmu,"魔芋幽木"
breasts_apart,"乳房分开"
bikini_top_only,"比基尼上衣,人物上身装饰>比基尼上衣,仅比基尼上衣"
jingle_bell,"铃儿响叮当"
straight_hair,"直发,人物发型>直发"
baseball_cap,"棒球帽,服饰>头饰>棒球帽"
cirno,"圆形"
string_bikini,"系绳比基尼,服饰>泳装和紧身服>系绳比基尼,细绳比基尼"
cum_on_breasts,"精液在乳房上"
hair_over_shoulder,"头发披在肩上,头发过肩,披肩发,人物属性>肩膀>头发披在肩上"
hair_flaps,"发瓣"
yellow_background,"黄色背景"
twin_drills,"特指两个钻头卷,双钻头卷,人物属性>发色与发型>特指两个钻头卷,人物发型>双钻头卷"
skin_tight,"皮肤紧"
torn_legwear,"破掉的袜子,损坏了的过膝袜,撕裂的裤袜,服饰>腿部服饰属性>破掉的袜子,人物鞋袜>损坏了的过膝袜,撕裂的大腿,撕裂的连裤袜"
:<,":<"
feathered_wings,"羽翼,人物属性>翅膀>羽翼"
semi-rimless_eyewear,"半无框眼镜"
web_address,"网址"
hooded_jacket,"连帽夹克,人物上身装饰>连帽夹克,连帽外套"
angry,"生气的,人物属性>情绪>生气的,人物面部>生气的"
facing_viewer,"面对观众,人物摆位>面对观众"
check_translation,"检查翻译"
light_purple_hair,"浅紫色头发"
motor_vehicle,"机动车辆"
cloak,"斗篷,人物上身装饰>斗篷"
yakumo_yukari,"八云由加里"
wolf_tail,"狼尾,人物属性>尾巴>狼尾,郊狼尾巴"
eyewear_on_head,"眼镜别在头上,人物头部饰品>眼镜别在头上,头戴眼镜"
red_nails,"红指甲"
claws,"爪子"
carrying,"用手臂支撑,人物属性>姿势>用手臂支撑,携带"
light_particles,"光粒子"
side_braid,"垂在侧边的辫子,侧辫,人物属性>发色与发型>垂在侧边的辫子,侧编织"
corset,"长紧身胸衣,紧身褡,服饰>衬衫和上衣>长紧身胸衣"
micro_bikini,"覆盖面积小的比基尼,迷你比基尼,服饰>泳装和紧身服>覆盖面积小的比基尼,微比基尼,人物全身服饰>迷你比基尼"
red_background,"红色背景"
multiple_penises,"多个阴茎"
pelvic_curtain,"遮挡胯下的方形布块,服饰>下装>遮挡胯下的方形布块,盆帘"
mary_janes,"玛丽珍鞋,服饰>鞋类>玛丽珍鞋,玛丽珍妮丝"
knees_up,"跪下"
red_headwear,"红色头饰,服饰>头饰>红色头饰"
